Per-sample gradient bias/variance at fixed anchor points
distributions=['standard_normal', 'shifted_normal', 'scaled_normal', 'laplace', 'student_t5', 'uniform', 'mixture_gauss', 'skewnormal']
anchors=[-1.5, -0.5, 0.5, 1.5], Ns=[16, 32, 64, 128, 256, 512, 1024, 2048, 4096], n_seeds=2000
Aggregation: median over seeds (IQR / std).

loss  distribution           y*      N        med grad       std grad  |med|/std
--------------------------------------------------------------------------------------
w1    uniform             -1.50   1024     -9.7656e-04     9.7230e-04      1.004
w1    uniform             -1.50   2048     -4.8828e-04     4.8752e-04      1.002
w1    uniform             -1.50   4096     -2.4414e-04     2.4378e-04      1.001
w1    uniform             -0.50     16     -6.2500e-02     5.8836e-02      1.062
w1    uniform             -0.50     32     -3.1250e-02     2.7961e-02      1.118
w1    uniform             -0.50     64     -1.5625e-02     1.2895e-02      1.212
w1    uniform             -0.50    128     -7.8125e-03     4.9384e-03      1.582
w1    uniform             -0.50    256     -3.9062e-03     1.7739e-03      2.202
w1    uniform             -0.50    512     -1.9531e-03     4.3410e-04      4.499
w1    uniform             -0.50   1024     -9.7656e-04     0.0000e+00 976562499999999881979625472.000
w1    uniform             -0.50   2048     -4.8828e-04     0.0000e+00 488281249999999940989812736.000
w1    uniform             -0.50   4096     -2.4414e-04     0.0000e+00 244140624999999970494906368.000
w1    uniform             +0.50     16     +6.2500e-02     5.9517e-02      1.050
w1    uniform             +0.50     32     +3.1250e-02     2.7946e-02      1.118
w1    uniform             +0.50     64     +1.5625e-02     1.3001e-02      1.202
w1    uniform             +0.50    128     +7.8125e-03     4.6887e-03      1.666
w1    uniform             +0.50    256     +3.9062e-03     1.6455e-03      2.374
w1    uniform             +0.50    512     +1.9531e-03     3.8876e-04      5.024
w1    uniform             +0.50   1024     +9.7656e-04     4.3673e-05     22.361
w1    uniform             +0.50   2048     +4.8828e-04     0.0000e+00 488281249999999940989812736.000
w1    uniform             +0.50   4096     +2.4414e-04     0.0000e+00 244140624999999970494906368.000
w1    uniform             +1.50     16     +6.2500e-02     6.0087e-02      1.040
w1    uniform             +1.50     32     +3.1250e-02     3.0008e-02      1.041
w1    uniform             +1.50     64     +1.5625e-02     1.5070e-02      1.037
w1    uniform             +1.50    128     -7.8125e-03     7.8114e-03      1.000
w1    uniform             +1.50    256     +3.9062e-03     3.8907e-03      1.004
w1    uniform             +1.50    512     +1.9531e-03     1.9504e-03      1.001
w1    uniform             +1.50   1024     +9.7656e-04     9.6877e-04      1.008
w1    uniform             +1.50   2048     +4.8828e-04     4.8782e-04      1.001
w1    uniform             +1.50   4096     +2.4414e-04     2.4379e-04      1.001

w1    mixture_gauss       -1.50     16     +6.2500e-02     6.2511e-02      1.000
w1    mixture_gauss       -1.50     32     +3.1250e-02     3.0506e-02      1.024
w1    mixture_gauss       -1.50     64     +1.5625e-02     1.4324e-02      1.091
w1    mixture_gauss       -1.50    128     +7.8125e-03     4.6148e-03      1.693
w1    mixture_gauss       -1.50    256     +3.9062e-03     1.7192e-03      2.272
w1    mixture_gauss       -1.50    512     +1.9531e-03     3.9826e-04      4.904
w1    mixture_gauss       -1.50   1024     +9.7656e-04     0.0000e+00 976562499999999881979625472.000
w1    mixture_gauss       -1.50   2048     +4.8828e-04     0.0000e+00 488281249999999940989812736.000
w1    mixture_gauss       -1.50   4096     +2.4414e-04     0.0000e+00 244140624999999970494906368.000
w1    mixture_gauss       -0.50     16     -6.2500e-02     5.1322e-02      1.218
w1    mixture_gauss       -0.50     32     -3.1250e-02     2.1396e-02      1.461
w1    mixture_gauss       -0.50     64     -1.5625e-02     7.2170e-03      2.165
w1    mixture_gauss       -0.50    128     -7.8125e-03     1.2070e-03      6.473
w1    mixture_gauss       -0.50    256     -3.9062e-03     3.0243e-04     12.916
w1    mixture_gauss       -0.50    512     -1.9531e-03     0.0000e+00 1953124999999999763959250944.000
w1    mixture_gauss       -0.50   1024     -9.7656e-04     0.0000e+00 976562499999999881979625472.000
w1    mixture_gauss       -0.50   2048     -4.8828e-04     0.0000e+00 488281249999999940989812736.000
w1    mixture_gauss       -0.50   4096     -2.4414e-04     0.0000e+00 244140624999999970494906368.000
w1    mixture_gauss       +0.50     16     +6.2500e-02     5.0292e-02      1.243
w1    mixture_gauss       +0.50     32     +3.1250e-02     2.0921e-02      1.494
w1    mixture_gauss       +0.50     64     +1.5625e-02     7.3063e-03      2.139
w1    mixture_gauss       +0.50    128     +7.8125e-03     1.7364e-03      4.499
w1    mixture_gauss       +0.50    256     +3.9062e-03     2.4699e-04     15.815
w1    mixture_gauss       +0.50    512     +1.9531e-03     0.0000e+00 1953124999999999763959250944.000
w1    mixture_gauss       +0.50   1024     +9.7656e-04     0.0000e+00 976562499999999881979625472.000
w1    mixture_gauss       +0.50   2048     +4.8828e-04     0.0000e+00 488281249999999940989812736.000
w1    mixture_gauss       +0.50   4096     +2.4414e-04     0.0000e+00 244140624999999970494906368.000
w1    mixture_gauss       +1.50     16     -6.2500e-02     6.2418e-02      1.001
w1    mixture_gauss       +1.50     32     -3.1250e-02     3.0742e-02      1.017
w1    mixture_gauss       +1.50     64     -1.5625e-02     1.4405e-02      1.085
w1    mixture_gauss       +1.50    128     -7.8125e-03     4.7911e-03      1.631
w1    mixture_gauss       +1.50    256     -3.9062e-03     1.9333e-03      2.020
w1    mixture_gauss       +1.50    512     -1.9531e-03     4.0753e-04      4.793
w1    mixture_gauss       +1.50   1024     -9.7656e-04     6.1748e-05     15.815
w1    mixture_gauss       +1.50   2048     -4.8828e-04     0.0000e+00 488281249999999940989812736.000
w1    mixture_gauss       +1.50   4096     -2.4414e-04     0.0000e+00 244140624999999970494906368.000

w1    skewnormal          -1.50     16     +6.2500e-02     5.9395e-02      1.052
w1    skewnormal          -1.50     32     +3.1250e-02     2.5260e-02      1.237
w1    skewnormal          -1.50     64     +1.5625e-02     8.8324e-03      1.769
w1    skewnormal          -1.50    128     +7.8125e-03     1.5551e-03      5.024
w1    skewnormal          -1.50    256     +3.9062e-03     1.7469e-04     22.361
w1    skewnormal          -1.50    512     +1.9531e-03     0.0000e+00 1953124999999999763959250944.000
w1    skewnormal          -1.50   1024     +9.7656e-04     0.0000e+00 976562499999999881979625472.000
w1    skewnormal          -1.50   2048     +4.8828e-04     0.0000e+00 488281249999999940989812736.000
w1    skewnormal          -1.50   4096     +2.4414e-04     0.0000e+00 244140624999999970494906368.000
w1    skewnormal          -0.50     16     -6.2500e-02     5.9035e-02      1.059
w1    skewnormal          -0.50     32     -3.1250e-02     2.8621e-02      1.092
w1    skewnormal          -0.50     64     -1.5625e-02     1.3104e-02      1.192
w1    skewnormal          -0.50    128     -7.8125e-03     4.9575e-03      1.576
w1    skewnormal          -0.50    256     -3.9062e-03     1.8631e-03      2.097
w1    skewnormal          -0.50    512     -1.9531e-03     3.4807e-04      5.611
w1    skewnormal          -0.50   1024     -9.7656e-04     0.0000e+00 976562499999999881979625472.000
w1    skewnormal          -0.50   2048     -4.8828e-04     0.0000e+00 488281249999999940989812736.000
w1    skewnormal          -0.50   4096     -2.4414e-04     0.0000e+00 244140624999999970494906368.000
w1    skewnormal          +0.50     16     -6.2500e-02     6.1413e-02      1.018
w1    skewnormal          +0.50     32     -3.1250e-02     2.9550e-02      1.058
w1    skewnormal          +0.50     64     -1.5625e-02     1.3702e-02      1.140
w1    skewnormal          +0.50    128     -7.8125e-03     6.6891e-03      1.168
w1    skewnormal          +0.50    256     -3.9062e-03     2.5485e-03      1.533
w1    skewnormal          +0.50    512     -1.9531e-03     7.8375e-04      2.492
w1    skewnormal          +0.50   1024     -9.7656e-04     1.9913e-04      4.904
w1    skewnormal          +0.50   2048     -4.8828e-04     0.0000e+00 488281249999999940989812736.000
w1    skewnormal          +0.50   4096     -2.4414e-04     0.0000e+00 244140624999999970494906368.000
w1    skewnormal          +1.50     16     +6.2500e-02     5.5114e-02      1.134
w1    skewnormal          +1.50     32     +3.1250e-02     2.7088e-02      1.154
w1    skewnormal          +1.50     64     +1.5625e-02     1.2619e-02      1.238
w1    skewnormal          +1.50    128     +7.8125e-03     6.7356e-03      1.160
w1    skewnormal          +1.50    256     +3.9062e-03     2.5755e-03      1.517
w1    skewnormal          +1.50    512     +1.9531e-03     8.9457e-04      2.183
w1    skewnormal          +1.50   1024     +9.7656e-04     2.4887e-04      3.924
w1    skewnormal          +1.50   2048     +4.8828e-04     5.3422e-05      9.140
w1    skewnormal          +1.50   4096     +2.4414e-04     0.0000e+00 244140624999999970494906368.000

tep   standard_normal     -1.50     16     -3.4477e-02     1.2686e-01      0.272
tep   standard_normal     -1.50     32     -1.7038e-02     9.0897e-02      0.187
tep   standard_normal     -1.50     64     -3.7724e-03     6.5407e-02      0.058
